プログラムID,プログラム名,広告主名,カテゴリ,開始日,終了日,提携日
s00000025770001,みかんのプロが選ぶ旬のかんきつを産地直送【ミヤモトオレンジガーデン本店】,株式会社ミヤモトオレンジガーデン,生鮮食品,2024/04/02,,2026/05/23
s00000020848001,プロがスタイリングしたコーディネートをご自宅にお届け！【DROBE(ドローブ)】,株式会社ＤＲＯＢＥ,服,2020/03/17,,2026/05/23
s00000010789007,【CM放映中】浄水型ウォーターサーバー「every frecious（エブリィフレシャス）」,富士山ＧＸホールディングス株式会社,飲料,2021/04/06,,2026/05/23
s00000022840002,【初回500円オフ！】お花の定期便 by アンドプランツ,株式会社Ｄｏｍｕｚ,花,2024/08/28,,2026/05/23
s00000022735001,あなたの楽曲を世界中に配信しよう！【narasu】,株式会社ローディアム,音楽,2021/10/27,,2026/05/23
s00000024907001,電動アシスト自転車の定額レンタルサービス【スマイルサイクル】,有限会社スマイルケア,その他（暮らし）,2023/08/29,,2026/05/23
s00000022857001,おうちの冷凍庫を宝箱に！フレンチシェフが贈る本格冷凍弁当ＤＥＬＩＰＩＣＫＳ,株式会社ＤＥＬＩＰＩＣＫＳ,総合（グルメ・食品）,2021/12/13,,2026/05/23
s00000023645001,ボトル型とまったく違う新しい浄水型サーバー,株式会社ｃｏｍａｍ,飲料,2022/07/28,,2026/05/23
s00000024726001,今なら2ヶ月無料。1日110円で使い放題の浄水器【マルチピュア】,マルチピュアジャパン株式会社,飲料,2023/10/31,,2026/05/23
s00000017094001,たった5秒で本格コーヒーが味わえるパウダーコーヒー【INICコーヒー】,パウダーフーズフォレスト株式会社,飲料,2016/11/14,,2026/05/23
s00000023029001,暮らしに花をタスことで、タスかる人や花を増やしたい【花の定期便(タスハナ)】,株式会社Ｉｔ,ガーデニング,2021/12/28,,2026/05/23
s00000020878001,腕時計レンタルサービスならカリトケ,ななし株式会社,ファッション小物,2020/02/26,,2026/05/23
s00000026065001,"月額9,700円で詰め放題！新感覚の宅配クリーニングはLoop Laundry！",有限会社アドバンスシステム,家事・日用品,2024/11/13,,2026/05/23
s00000021840001,適齢に合わせた知育玩具を定期でお届け！【Cha Cha Cha】,自立の株式会社,子育て,2021/02/09,,2026/05/23
s00000016113004,【HitoHanaのお花の定期便】初回花瓶プレゼント！色が選べる花のサブスク,株式会社Ｂｅｅｒ＿ａｎｄ＿Ｔｅｃｈ,ガーデニング,2020/10/28,,2026/05/23
s00000021239001,国産/輸入車約300車種!月額1万円台からの新車定額カーリース（サブスク）【オリコで乗ーる】,株式会社オリコカーライフ,車・バイク,2020/07/16,,2026/05/23
s00000023131001,百貨店初のサブスク型ファッションレンタルサービス【AnotherADdress】,株式会社大丸松坂屋百貨店,その他（ファッション）,2022/03/01,,2026/05/23
s00000016856001,国内最大級！大人女性向けファッションサブスク【airCloset エアークローゼット 】,株式会社エアークローゼット,服,2017/11/14,,2026/05/23
